Agate Fossil Beds National Monument	park	Sioux	Nebraska	42.4208	-102.225	
Agattu Island	park	Aleutians West	Alaska	52.4333	173.60	
Agattu Strait	channel	Aleutians West	Alaska	52.5833	-172.5833	
Agawam	ppl	Teton	Montana	48.00	-111.8333	3795
Agawam	ppl	Grady	Oklahoma	34.8733	-96.0542	1259
Agency Lake	lake	Klamath	Oregon	42.5325	-120.0361	4139
Agenda	ppl	Republic	Kansas	39.7078	-96.5686	1410
Aghiyuk Island	island	Lake and Peninsula	Alaska	56.1667	-155.2167	
Agiapuk River	stream	Nome	Alaska	65.1667	-164.3167	
Agnes	ppl	Parker	Texas	32.9792	-96.2117	1213
Agness	ppl	Curry	Oregon	42.5567	-123.9322	186
Agnew	ppl	Lancaster	Nebraska	41.0169	-95.1856	1265
Agnos	ppl	Fulton	Arkansas	36.2772	-90.3086	771
Agoura	ppl	Los Angeles	California	34.1431	-117.2631	899
Agra	ppl	Phillips	Kansas	39.7617	-98.8811	1851
Agra	ppl	Lincoln	Oklahoma	35.8969	-95.1247	1036
Agricola	ppl	Coffey	Kansas	38.4194	-94.4653	1140
Agricola	ppl	George	Mississippi	30.8075	-87.48	218
Agrihan	island	Northern Islands	Northern Mariana	18.7675	145.6672	
Agua Caliente Indian Reservation	reserve	Riverside	California	33.7667	-115.4333	
Agua Chiquita Creek	stream	Chaves	New Mexico	32.9133	-104.6619	
Agua Dulce	ppl	Nueces	Texas	27.7814	-96.0917	129
Agua Fria Peak	summit	Colfax	New Mexico	36.3614	-104.7917	11086
Agua Fria River	stream	Maricopa	Arizona	33.3894	-111.6361	
Agua Hedionda	bay	San Diego	California	33.1425	-116.6733	
Agua Nueva	ppl	Jim Hogg	Texas	26.9014	-97.40	426
Aguada	ppl	Aguada	Puerto Rico	18.3833	-66.8117	24
Aguada Municipio	civil	Aguada	Puerto Rico	18.3625	-66.825	
Aguadilla	ppl	Aguadilla	Puerto Rico	18.4333	-66.8417	130
Aguadilla Municipio	civil	Aguadilla	Puerto Rico	18.4681	-66.8792	
Aguanga	ppl	Riverside	California	33.4428	-115.1358	1940
Aguas Buenas	ppl	Aguas Buenas	Puerto Rico	18.2583	-65.895	
Aguas Buenas Municipio	civil	Aguas Buenas	Puerto Rico	18.2556	-65.8764	
Agudo	ppl	De Baca	New Mexico	34.405	-103.6967	4258
Aguijan	island	Tinian	Northern Mariana	14.8517	145.5569	
Aguila	ppl	Maricopa	Arizona	33.9428	-112.8267	2163
Aguila, Punta	cape	Cabo Rojo	Puerto Rico	17.9544	-66.7853	
Aguilar	ppl	Las Animas	Colorado	37.4028	-103.3472	6388
Aguilares	ppl	Webb	Texas	27.4483	-98.9131	617
Aguliuk Point	cape	Aleutians West	Alaska	53.48	-167.6633	
Ahklun Mountains	range	Aleutians West	Alaska	59.25	-159.50	
Ahloso	ppl	Pontotoc	Oklahoma	34.735	-95.3628	854
Ahnapee River	stream	Kewaunee	Wisconsin	44.6083	-86.5669	
Ahoskie	ppl	Hertford	North Carolina	36.2867	-75.015	53
Ahtanum	ppl	Yakima	Washington	46.5597	-119.3792	1240
Ahtanum Ridge	ridge	Yakima	Washington	46.5072	-119.1856	
Ahua Point	cape	Honolulu	Hawaii	21.3142	-156.0747	
Ahwahnee	ppl	Madera	California	37.3656	-118.2747	2321
Aiak, Cape	cape	Aleutians West	Alaska	53.26	-166.50	
Aiaktalik Island	island	Kodiak Island	Alaska	56.70	-153.95	
Aialik Bay	bay	Kenai Peninsula	Alaska	59.6667	-148.4333	
Aibonito	ppl	Aibonito	Puerto Rico	18.1417	-65.735	1942
Aibonito Municipio	civil	Aibonito	Puerto Rico	-17.8625	-65.7375	
Aichilik River	stream	North Slope	Alaska	69.85	-141.8667	
Aid	ppl	Lawrence	Ohio	38.5961	-81.5067	589
Aiea	ppl	Honolulu	Hawaii	21.3822	-156.0664	38
Aiken	ppl	Floyd	Texas	34.1422	-100.4747	3302
Aiken (county seat)	ppl	Aiken	South Carolina	33.5603	-80.2803	490
Aiken County	civil	Aiken	South Carolina	33.5833	-80.40	
Ailey	ppl	Montgomery	Georgia	32.1872	-81.4342	254
Ainsworth	ppl	Lake	Indiana	41.4867	-86.7417	661
Ainsworth	ppl	Washington	Iowa	41.2889	-90.4478	700
Ainsworth (county seat)	ppl	Brown	Nebraska	42.55	-98.1378	2520
Airmont	ppl	Rockland	New York	41.1008	-73.8833	586
Aitkin (county seat)	ppl	Aitkin	Minnesota	46.5331	-92.29	1217
Aitkin County	civil	Aitkin	Minnesota	46.60	-92.5833	
Ajax Peak	summit	Beaverhead	Montana	45.3311	-112.2622	10028
Ajo	ppl	Pima	Arizona	32.3717	-111.14	1747
Ajo Range	range	Pima	Arizona	32.0444	-111.3156	
Ak-Chin Indian Reservation	reserve	Pinal	Arizona	33.0292	-111.9189	
Akaka Falls	falls	Hawaii	Hawaii	19.8564	-154.8408	
Akaska	ppl	Walworth	South Dakota	45.3317	-99.8783	1768
Akau Island	island	Johnston Atoll	Johnston Atoll	18.75	-168.4833	
Akeley	ppl	Hubbard	Minnesota	47.0042	-93.2733	1430
Akers	ppl	Tangipahoa	Louisiana	30.29	-89.5983	96
Akers	ppl	Shannon	Missouri	37.3761	-90.4464	806
Akhiok	ppl	Kodiak Island	Alaska	56.945	-153.8333	
Akiachak	ppl	Kodiak Island	Alaska	60.9083	-160.57	30
Akiak	ppl	Kodiak Island	Alaska	60.9167	-160.7833	23
Akiak Indian Reservation	reserve	Kodiak Island	Alaska			
Akin	ppl	Franklin	Illinois	37.9878	-87.2478	473
Akoolokok Point	cape	Nome	Alaska	63.4333	-168.35	
Akra	ppl	Pembina	North Dakota	48.7753	-96.2733	980
Akron	ppl	Hale	Alabama	32.8764	-86.2575	130
Akron	ppl	Fulton	Indiana	41.0383	-85.9719	858
Akron	ppl	Plymouth	Iowa	42.8289	-95.4408	1147
Akron	ppl	Cowley	Kansas	37.3517	-96.9853	1160
Akron	ppl	Erie	New York	43.0208	-77.5044	679
Akron	ppl	Lancaster	Pennsylvania	40.1567	-75.7975	510
Akron (county seat)	ppl	Summit	Ohio	41.0814	-80.4808	989
Akron (county seat)	ppl	Washington	Colorado	40.1606	-102.7861	4661
Akun Island	island	Aleutians East	Alaska	54.1833	-164.4667	
Akutan	ppl	Aleutians East	Alaska	54.135	-164.2283	
Akutan Bay	bay	Aleutians East	Alaska	54.1833	-164.2833	
Akutan Channel	channel	Aleutians West	Alaska	54.025	-165.95	
Akutan Indian Reservation	reserve	Aleutian Islands	Alaska			
Akutan Island	island	Aleutians East	Alaska	54.1167	-164.0833	
Alabam	ppl	Madison	Arkansas	36.1525	-92.3189	1498
Alabama River	stream	Baldwin	Alabama	31.1358	-86.0567	
Alabama, State of	civil	null	Alabama	32.75	-85.25	
Alabaster	ppl	Shelby	Alabama	33.2442	-85.1836	486
Alabaster	ppl	Iosco	Michigan	44.1864	-82.4419	603
Alachua	ppl	Alachua	Florida	29.7956	-81.5056	85
Alachua County	civil	Alachua	Florida	29.6833	-81.65	
Aladdin	ppl	Crook	Wyoming	44.64	-103.8169	3895
Aladdin	ppl	Armstrong	Pennsylvania	40.6917	-78.3431	790
Alagnak River	stream	Lake and Peninsula	Alaska	59.00	-155.1167	
Alaid Island	island	Aleutians West	Alaska	52.7633	173.90	
Alakunuk	ppl	Wade Hampton	Alaska	62.6883	-163.3833	5
Alalakeiki Channel	channel	Maui	Hawaii	20.5833	-155.50	
Alamance County	civil	Alamance	North Carolina	36.0333	-78.60	
Alameda	ppl	Bernalillo	New Mexico	35.1867	-105.3817	4988
Alameda	ppl	Alameda	California	37.7653	-121.7594	12
Alameda County	civil	Alameda	California	37.60	-120.1167	
Alamito Creek	stream	Presidio	Texas	29.5208	-103.7086	
Alamo	ppl	Lincoln	Nevada	37.365	-114.8364	3449
Alamo	ppl	Contra Costa	California	37.8503	-121.9689	270
Alamo	ppl	Williams	North Dakota	48.5817	-102.5317	2115
Alamo (county seat)	ppl	Crockett	Tennessee	35.7847	-88.8828	367
Alamo (county seat)	ppl	Wheeler	Georgia	32.1469	-81.2219	235
Alamo Alto	ppl	El Paso	Texas	31.405	-105.9767	3575
Alamo Heights	ppl	Bexar	Texas	29.4847	-97.5344	798
Alamo Lake	reservoir	Mohave	Arizona	34.2322	-112.3992	1070
Alamo Navajo Indian Reservation	reserve	Socorro	New Mexico	34.40	-106.55	
Alamo Oaks	ppl	Contra Costa	California	37.8394	-120.0081	483
Alamo River	stream	Imperial	California	33.2122	-114.3792	
Alamogordo (county seat)	ppl	Otero	New Mexico	32.90	-104.0433	4303
Alamosa (county seat)	ppl	Alamosa	Colorado	37.4694	-104.1306	7544
